	input	category	prediction
44	The cat teleported a crown on a table to Emma .	do_dative_to_pp_dative	cat ( 12 ) ; crown ( 34 ) ; table ( 27 ) ; Emma ( 19 ) ; teleport ( 8 ) AND theme ( 8 , 34 ) AND recipient ( 8 , 19 ) AND agent ( 8 , 12 ) AND nmod . on ( 34 , 27 )
45	The child teleported the glue on a tree to Olivia .	do_dative_to_pp_dative	child ( 12 ) ; glue ( 34 ) ; * tree ( 27 ) ; Olivia ( 19 ) ; teleport ( 8 ) AND agent ( 8 , 12 ) AND theme ( 8 , 34 ) AND recipient ( 8 , 19 ) AND nmod . on ( 34 , 27 )
46	Joshua teleported the cookie beside the box to a girl .	do_dative_to_pp_dative	Joshua ( 12 ) ; cookie ( 34 ) ; box ( 27 ) ; girl ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND nmod . beside ( 34 , 27 ) AND recipient ( 20 , 19 )
47	A monkey teleported the cake to Ava .	do_dative_to_pp_dative	monkey ( 12 ) ; cake ( 34 ) ; Ava ( 27 ) ; teleport ( 19 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 ) AND agent ( 19 , 12 )
48	The dog teleported a cookie on a table to Harper .	do_dative_to_pp_dative	dog ( 12 ) ; cookie ( 34 ) ; table ( 27 ) ; Harper ( 19 ) ; teleport ( 8 ) AND theme ( 8 , 34 ) AND recipient ( 8 , 19 ) AND agent ( 8 , 12 ) AND nmod . on ( 34 , 27 )
49	Liam teleported the cookie in a car to a boy .	do_dative_to_pp_dative	Liam ( 12 ) ; cookie ( 34 ) ; car ( 27 ) ; boy ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND location ( 20 , 27 ) AND recipient ( 20 , 19 )
50	Liam teleported the box beside the stage to a tourist .	do_dative_to_pp_dative	Liam ( 12 ) ; box ( 34 ) ; stage ( 27 ) ; tourist ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND recipient ( 20 , 19 )
51	Sophia teleported the cake on a table to a girl .	do_dative_to_pp_dative	Sophia ( 12 ) ; cake ( 34 ) ; table ( 27 ) ; girl ( 19 ) ; teleport ( 8 ) AND agent ( 8 , 12 ) AND theme ( 8 , 34 ) AND location ( 8 , 27 ) AND recipient ( 8 , 19 )
52	Julian teleported the cookie beside the table to a girl .	do_dative_to_pp_dative	Julian ( 12 ) ; cookie ( 34 ) ; table ( 27 ) ; girl ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND location ( 20 , 27 ) AND recipient ( 20 , 19 )
53	Emma teleported the potato beside the stool to the girl .	do_dative_to_pp_dative	Emma ( 12 ) ; potato ( 34 ) ; stool ( 27 ) ; * girl ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND location ( 20 , 27 ) AND recipient ( 20 , 19 )
54	The lawyer hoped that the tourist believed that Ava teleported the cake beside the table to the girl .	do_dative_to_pp_dative	lawyer ( 12 ) ; tourist ( 34 ) ; Ava ( 27 ) ; cake ( 19 ) ; table ( 52 ) ; girl ( 48 ) ; hope ( 8 ) AND agent ( 8 , 12 ) AND theme ( 8 , 34 ) AND believe ( 16 ) AND agent ( 16 , 34 ) AND ccomp ( 16 , 19 ) AND teleport ( 24 ) AND agent ( 24 , 27 ) AND theme ( 24 , 19 ) AND nmod . beside ( 19 , 52 )
55	Emma teleported the donut to Benjamin .	do_dative_to_pp_dative	Emma ( 12 ) ; donut ( 34 ) ; Benjamin ( 27 ) ; teleport ( 19 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 ) AND agent ( 19 , 12 )
56	Luna teleported a cake to Sophia .	do_dative_to_pp_dative	Luna ( 12 ) ; cake ( 34 ) ; Sophia ( 27 ) ; teleport ( 19 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 ) AND agent ( 19 , 12 )
57	The boy teleported a newspaper beside a road to the mouse .	do_dative_to_pp_dative	boy ( 12 ) ; newspaper ( 34 ) ; road ( 27 ) ; mouse ( 19 ) ; teleport ( 8 ) AND agent ( 8 , 12 ) AND theme ( 8 , 34 ) AND recipient ( 8 , 19 ) AND nmod . beside ( 34 , 27 )
58	Emma teleported the cake in a room to the boy .	do_dative_to_pp_dative	Emma ( 12 ) ; cake ( 34 ) ; room ( 27 ) ; boy ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND location ( 20 , 27 ) AND recipient ( 20 , 19 )
59	Liam teleported the raisin to a baby .	do_dative_to_pp_dative	Liam ( 12 ) ; raisin ( 34 ) ; baby ( 27 ) ; teleport ( 19 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 ) AND agent ( 19 , 12 )
60	A cat baked a girl on the desk .	obj_omitted_transitive_to_transitive	cat ( 12 ) ; girl ( 34 ) ; desk ( 27 ) ; bake ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND location ( 19 , 27 )
61	Natalie respected that the girl baked the box .	obj_omitted_transitive_to_transitive	Natalie ( 12 ) ; * girl ( 34 ) ; * box ( 27 ) ; respect ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 35 ) AND bake ( 35 ) AND agent ( 35 , 34 ) AND theme ( 35 , 27 )
62	Emma baked the cookie .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; cookie ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
63	A sailor baked a cake .	obj_omitted_transitive_to_transitive	sailor ( 12 ) ; cake ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
64	Jackson baked Jayden .	obj_omitted_transitive_to_transitive	Jackson ( 12 ) ; Jayden ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
65	Liam baked a girl on a table .	obj_omitted_transitive_to_transitive	Liam ( 12 ) ; girl ( 34 ) ; table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND location ( 19 , 27 )
66	Emma baked Christopher .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; Christopher ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
67	The cat baked the frog on the table .	obj_omitted_transitive_to_transitive	* cat ( 12 ) ; * frog ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . on ( 19 , 27 )
68	Emma baked the drink beside the stool .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; drink ( 34 ) ; stool ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
69	Emma baked Hannah .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; Hannah ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
70	Olivia baked the tool beside the table .	obj_omitted_transitive_to_transitive	Olivia ( 12 ) ; tool ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
71	A girl baked the boy in the trap .	obj_omitted_transitive_to_transitive	girl ( 12 ) ; boy ( 34 ) ; trap ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND location ( 19 , 27 )
72	A girl liked that the patient baked a donut on a windowsill .	obj_omitted_transitive_to_transitive	girl ( 12 ) ; patient ( 34 ) ; donut ( 27 ) ; windowsill ( 19 ) ; like ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND bake ( 35 ) AND agent ( 35 , 34 ) AND theme ( 35 , 27 ) AND nmod . on ( 35 , 19 )
73	Benjamin hoped that a teacher baked the boy .	obj_omitted_transitive_to_transitive	Benjamin ( 12 ) ; * teacher ( 34 ) ; * boy ( 27 ) ; hope ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 35 ) AND bake ( 35 ) AND agent ( 35 , 34 ) AND theme ( 35 , 27 )
74	Aiden baked Liam .	obj_omitted_transitive_to_transitive	Aiden ( 12 ) ; Liam ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
75	The frog baked a cake .	obj_omitted_transitive_to_transitive	frog ( 12 ) ; cake ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
76	Emma baked the donut beside a table .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; donut ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
77	Carter baked Emma .	obj_omitted_transitive_to_transitive	Carter ( 12 ) ; Emma ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
78	The president baked a cake in a vehicle .	obj_omitted_transitive_to_transitive	president ( 12 ) ; cake ( 34 ) ; vehicle ( 27 ) ; bake ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND location ( 19 , 27 )
79	The spokesman baked a pig .	obj_omitted_transitive_to_transitive	spokesman ( 12 ) ; pig ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
80	A strawberry beside a machine was thrown by a lion on a box .	obj_pp_to_subj_pp	strawberry ( 12 ) ; machine ( 34 ) ; lion ( 27 ) ; box ( 19 ) ; beside ( 20 ) AND theme ( 20 , 12 ) AND agent ( 20 , 27 ) AND on ( 35 ) AND theme ( 35 , 19 ) AND throw ( 35 )
81	The boy on a towel gave the frog the cake on a booklet .	obj_pp_to_subj_pp	* boy ( 12 ) ; towel ( 34 ) ; frog ( 27 ) ; cake ( 19 ) ; booklet ( 42 ) ; nmod . on ( 12 , 34 ) AND nmod . on ( 19 , 42 ) AND give ( 35 ) AND agent ( 35 , 12 ) AND theme ( 35 , 19 ) AND recipient ( 35 , 27 )
82	The bird in a box was awarded a ball by the girl beside the machine .	obj_pp_to_subj_pp	bird ( 12 ) ; * box ( 34 ) ; award ( 27 ) ; * ball ( 19 ) ; * girl ( 8 ) ; * machine ( 42 ) ; nmod . in ( 12 , 34 ) AND nmod . beside ( 19 , 42 ) AND award ( 27 ) AND theme ( 27 , 12 ) AND recipient ( 27 , 19 ) AND agent ( 27 , 8 )
83	A producer on a table was given the pumpkin beside a cabinet .	obj_pp_to_subj_pp	producer ( 12 ) ; table ( 34 ) ; pumpkin ( 27 ) ; cabinet ( 19 ) ; give ( 8 ) AND theme ( 8 , 27 ) AND recipient ( 8 , 12 ) AND nmod . beside ( 27 , 19 )
84	The friend in a house beside a stage needed to sneeze .	obj_pp_to_subj_pp	* friend ( 12 ) ; * house ( 34 ) ; * stage ( 27 ) ; nmod . in ( 12 , 34 ) AND nmod . beside ( 12 , 27 ) AND need ( 19 ) AND agent ( 19 , 12 ) AND sneeze ( 19 )
85	The cake on the bed was rolled by the girl in a tin .	obj_pp_to_subj_pp	cake ( 12 ) ; * bed ( 34 ) ; roll ( 27 ) ; * girl ( 19 ) ; * tin ( 42 ) ; nmod . on ( 12 , 34 ) AND nmod . in ( 19 , 42 ) AND agent ( 27 , 19 ) AND theme ( 27 , 12 ) AND agent ( 27 , 19 )
86	The boy in a bush liked Ryan .	obj_pp_to_subj_pp	* boy ( 12 ) ; * bush ( 34 ) ; Ryan ( 27 ) ; nmod . in ( 12 , 34 ) AND like ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 27 )
87	The basket on the keyboard was eaten .	obj_pp_to_subj_pp	* basket ( 12 ) ; * keyboard ( 34 ) ; eat ( 27 ) AND theme ( 27 , 12 ) AND nmod . on ( 12 , 34 )
88	The chief beside the skull rolled Grace .	obj_pp_to_subj_pp	chief ( 12 ) ; skull ( 34 ) ; Grace ( 27 ) ; beside ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 27 )
